gene_name,in_cluster,cluster
POU2F3,True,"POU/1,POU/3"
POU3F1,True,"POU/1,POU/2"
POU3F2,True,"POU/1,POU/2"
POU3F3,True,"POU/1,POU/2,POU/3"
POU3F4,True,"POU/1,POU/2"
POU4F1,True,POU/2
POU4F2,True,POU/2
POU4F3,True,POU/2
POU5F1,True,"OCT4+SOX2,POU/1"
POU5F1B,True,POU/1
POU6F1,True,HD/2
POU6F2,True,HD/2
PPARA,True,NR/3
PPARG,True,"NR/17,NR/3"
PRDM1,True,PRDM1
PRDM4,True,PRDM4
PRDM5,True,PRDM5
PRDM6,True,NFAC/2
PRDM9,True,PRDM9
PROP1,True,HD/8
PROX1,True,PROX1
PRRX1,True,"HD/2,HD/8"
PRRX2,True,HD/2
PTF1A,True,Ebox/CAGATGG
RARA,True,"NR/11,NR/12,NR/13,NR/16,NR/3"
RARB,True,"NR/12,NR/13"
RARG,True,"NR/12,NR/13,NR/16,NR/17"
RAX,True,HD/2
RAX2,True,HD/2
RBPJ,True,RBPJ
REL,True,"NFKB/1,NFKB/3"
RELA,True,NFKB/1
RELB,True,"NFKB/1,REL-halfsite"
REST,True,REST/NRSF
RFX1,True,RFX/1
RFX2,True,"RFX/1,RFX/2"
RFX3,True,"RFX/1,RFX/2"
RFX4,True,"RFX/1,RFX/2"
RFX5,True,"RFX/1,RFX/3"
RFX6,True,RFX/3
RHOXF1,True,HD/20
RORA,True,"NR/12,NR/13,NR/19,NR/3"
RORB,True,NR/19
RORC,True,NR/19
RREB1,True,KLF/SP/2
RUNX1,True,RUNX/1
RUNX2,True,"RUNX/1,RUNX/2"
RUNX3,True,"RUNX/1,RUNX/2"
RXRA,True,"NR/1,NR/11,NR/12,NR/15,NR/16,NR/18,NR/3,NR/4"
RXRB,True,"NR/1,NR/16"
RXRG,True,"NR/1,NR/11,NR/12,NR/4"
SALL4,True,KLF/SP/2
SCRT1,True,SCRT1
SCRT2,True,SCRT1
SHOX,True,HD/2
SHOX2,True,HD/2
SIX1,True,SIX/1
SIX2,True,SIX/1
SIX3,True,SIX/2
SIX4,True,SIX/1
SMAD3,True,SMAD
SMAD4,True,SMAD
SNAI1,True,Ebox/CACCTG
SNAI2,True,"Ebox/CACCTG,SNAI2"
SOX1,True,SOX/4
SOX10,True,"SOX/1,SOX/3,SOX/4,SOX/5,SOX/6,SOX/8"
SOX11,True,SOX/4
SOX13,True,SOX/1
SOX14,True,"SOX/3,SOX/4,SOX/5"
SOX15,True,"SOX/1,SOX/3,SOX/4,SOX/5"
SOX17,True,SOX/1
SOX18,True,"SOX/3,SOX/4,SOX/5"
SOX2,True,"OCT4+SOX2,SOX/1,SOX/3,SOX/4,SOX/5"
SOX21,True,"SOX/3,SOX/4,SOX/5,SOX/6"
SOX3,True,SOX/1
SOX4,True,"SOX/1,SOX/4"
SOX5,True,SOX/2
SOX6,True,SOX/1
SOX7,True,"SOX/3,SOX/4,SOX/6"
SOX8,True,"SOX/3,SOX/4,SOX/5,SOX/6,SOX/8"
SOX9,True,"SOX/1,SOX/3,SOX/4,SOX/5,SOX/6,SOX/7,SOX/8"
SP1,True,"KLF/SP/1,KLF/SP/2"
SP2,True,KLF/SP/2
SP3,True,"KLF/SP/1,KLF/SP/2"
SP4,True,"KLF/SP/1,KLF/SP/2"
SP5,True,KLF/SP/2
SP7,True,HD/2
SP8,True,KLF/SP/1
SPDEF,True,"ETS/1,SPDEF/1,SPDEF/2"
SPI1,True,SPI
SPIB,True,SPI
SPIC,True,SPI
SPZ1,True,SPZ1
SREBF1,True,"Ebox/CACGTG/1,SREBF1"
SREBF2,True,"Ebox/CACGTG/1,SREBF1"
SRF,True,SRF
SRY,True,"SOX/1,SOX/3,SOX/4,SOX/5,SOX/6"
STAT1,True,"IRF/2,STAT/2"
STAT2,True,IRF/2
STAT3,True,STAT/2
STAT4,True,STAT/2
STAT5A,True,STAT/2
STAT5B,True,STAT/2
STAT6,True,STAT/1
T,True,TBX/1
TAL1,True,"Ebox/CAGATGG,GATA"
TBP,True,TATA
TBR1,True,TBX/4
TBX1,True,TBX/4
TBX15,True,TBX/4
TBX19,True,TBX/1
TBX2,True,"TBX/2,TBX/4"
TBX20,True,"SMAD,TBX/4"
TBX21,True,"TBX/2,TBX/3,TBX/4"
TBX3,True,TBX/3
TBX4,True,"TBX/2,TBX/4"
TBX5,True,"TBX/2,TBX/4"
TCF12,True,Ebox/CAGCTG
TCF21,True,Ebox/CAGCTG
TCF3,True,"Ebox/CACCTG,Ebox/CAGATGG,HAND1"
TCF4,True,Ebox/CACCTG
TCF7,True,"LEF1,TCF/LEF"
TCF7L1,True,TCF/LEF
TCF7L2,True,TCF/LEF
TCFL5,True,Ebox/CACGTG/2
TEAD1,True,TEAD
TEAD2,True,TEAD
TEAD3,True,TEAD
TEAD4,True,TEAD
TEF,True,CCAAT/CEBP
TFAP2A,True,"TFAP2/1,TFAP2/2"
TFAP2B,True,"TFAP2/1,TFAP2/2"
TFAP2C,True,"TFAP2/1,TFAP2/2"
TFAP4,True,Ebox/CAGCTG
TFCP2,True,"GRHL,TFCP2"
TFDP1,True,E2F/2
TFE3,True,Ebox/CACGTG/1
TFEB,True,Ebox/CACGTG/1
TFEC,True,Ebox/CACGTG/1
TGIF1,True,MIES
TGIF2,True,MIES
TGIF2LX,True,MIES
THAP1,True,"GC-tract,THAP1"
THRA,True,NR/5
THRB,True,"NR/10,NR/5,NR/8"
TLX1,True,NFI/1
TP53,True,P53-like/1
TP63,True,P53-like/1
TP73,True,P53-like/1
TWIST1,True,Ebox/CAGCTG
TWIST2,True,Ebox/CATATG
UNCX,True,"HD/2,HD/8"
USF1,True,Ebox/CACGTG/1
USF2,True,Ebox/CACGTG/1
VAX1,True,HD/2
VAX2,True,HD/2
VDR,True,NR/15
VENTX,True,"HD/2,HD/3"
VEZF1,True,KLF/SP/2
VSX1,True,HD/2
VSX2,True,HD/2
WT1,True,KLF/SP/2
XBP1,True,"CREB/ATF/2,CREB3/XBP1"
YY1,True,YY1
YY2,True,YY1
ZBED1,True,ZBED1
ZBTB18,True,Ebox/CAGCTG
ZBTB33,True,KAISO
ZBTB49,True,ZBTB49
ZBTB6,True,ZBTB6
ZBTB7A,True,"ETS/1,GLI"
ZBTB7B,True,GLI
ZBTB7C,True,GLI
ZEB1,True,"Ebox/CACCTG,SNAI2"
ZFP28,True,ZNF28
ZFP42,True,YY1
ZFP57,True,ZNF57
ZFP82,True,ZNF354
ZFX,True,ZFX
ZIC1,True,"ZIC,ZIC/2"
ZIC2,True,ZIC
ZIC3,True,ZIC
ZIC4,True,ZIC
ZIM3,True,ZIM3
ZNF143,True,ZNF143
ZNF18,True,TBX/4
ZNF232,True,ZNF232
ZNF24,True,ZNF24
ZNF263,True,GC-tract
ZNF282,True,ZNF282
